key,description
node.disk.lnum.43,Logical number of disk with index 43
node.disk.lnum.44,Logical number of disk with index 44
node.disk.lnum.45,Logical number of disk with index 45
node.disk.lnum.46,Logical number of disk with index 46
node.disk.lnum.47,Logical number of disk with index 47
node.disk.lnum.48,Logical number of disk with index 48
node.disk.lnum.49,Logical number of disk with index 49
node.disk.lnum.50,Logical number of disk with index 50
node.disk.lnum.51,Logical number of disk with index 51
node.disk.lnum.52,Logical number of disk with index 52
node.disk.lnum.53,Logical number of disk with index 53
node.disk.lnum.54,Logical number of disk with index 54
node.disk.lnum.55,Logical number of disk with index 55
node.disk.lnum.56,Logical number of disk with index 56
node.disk.lnum.57,Logical number of disk with index 57
node.disk.lnum.58,Logical number of disk with index 58
node.disk.lnum.59,Logical number of disk with index 59
node.disk.type.0,Type of disk with index 0
node.disk.type.1,Type of disk with index 1
node.disk.type.2,Type of disk with index 2
node.disk.type.3,Type of disk with index 3
node.disk.type.4,Type of disk with index 4
node.disk.type.5,Type of disk with index 5
node.disk.type.6,Type of disk with index 6
node.disk.type.7,Type of disk with index 7
node.disk.type.8,Type of disk with index 8
node.disk.type.9,Type of disk with index 9
node.disk.type.10,Type of disk with index 10
node.disk.type.11,Type of disk with index 11
node.disk.type.12,Type of disk with index 12
node.disk.type.13,Type of disk with index 13
node.disk.type.14,Type of disk with index 14
node.disk.type.15,Type of disk with index 15
node.disk.type.16,Type of disk with index 16
node.disk.type.17,Type of disk with index 17
node.disk.type.18,Type of disk with index 18
node.disk.type.19,Type of disk with index 19
node.disk.type.20,Type of disk with index 20
node.disk.type.21,Type of disk with index 21
node.disk.type.22,Type of disk with index 22
node.disk.type.23,Type of disk with index 23
node.disk.type.24,Type of disk with index 24
node.disk.type.25,Type of disk with index 25
node.disk.type.26,Type of disk with index 26
node.disk.type.27,Type of disk with index 27
node.disk.type.28,Type of disk with index 28
node.disk.type.29,Type of disk with index 29
node.disk.type.30,Type of disk with index 30
node.disk.type.31,Type of disk with index 31
node.disk.type.32,Type of disk with index 32
node.disk.type.33,Type of disk with index 33
node.disk.type.34,Type of disk with index 34
node.disk.type.35,Type of disk with index 35
node.disk.type.36,Type of disk with index 36
node.disk.type.37,Type of disk with index 37
node.disk.type.38,Type of disk with index 38
node.disk.type.39,Type of disk with index 39
node.disk.type.40,Type of disk with index 40
node.disk.type.41,Type of disk with index 41
node.disk.type.42,Type of disk with index 42
node.disk.type.43,Type of disk with index 43
node.disk.type.44,Type of disk with index 44
node.disk.type.45,Type of disk with index 45
node.disk.type.46,Type of disk with index 46
node.disk.type.47,Type of disk with index 47
node.disk.type.48,Type of disk with index 48
node.disk.type.49,Type of disk with index 49
node.disk.type.50,Type of disk with index 50
node.disk.type.51,Type of disk with index 51
node.disk.type.52,Type of disk with index 52
node.disk.type.53,Type of disk with index 53
node.disk.type.54,Type of disk with index 54
node.disk.type.55,Type of disk with index 55
node.disk.type.56,Type of disk with index 56
node.disk.type.57,Type of disk with index 57
node.disk.type.58,Type of disk with index 58
node.disk.type.59,Type of disk with index 59
node.disk.bay.0,Bay number of disk with index 0
node.disk.bay.1,Bay number of disk with index 1
node.disk.bay.2,Bay number of disk with index 2
node.disk.bay.3,Bay number of disk with index 3
node.disk.bay.4,Bay number of disk with index 4
node.disk.bay.5,Bay number of disk with index 5
node.disk.bay.6,Bay number of disk with index 6
node.disk.bay.7,Bay number of disk with index 7
node.disk.bay.8,Bay number of disk with index 8
node.disk.bay.9,Bay number of disk with index 9
node.disk.bay.10,Bay number of disk with index 10
node.disk.bay.11,Bay number of disk with index 11
node.disk.bay.12,Bay number of disk with index 12
node.disk.bay.13,Bay number of disk with index 13
node.disk.bay.14,Bay number of disk with index 14
node.disk.bay.15,Bay number of disk with index 15
node.disk.bay.16,Bay number of disk with index 16
node.disk.bay.17,Bay number of disk with index 17
node.disk.bay.18,Bay number of disk with index 18
node.disk.bay.19,Bay number of disk with index 19
node.disk.bay.20,Bay number of disk with index 20
node.disk.bay.21,Bay number of disk with index 21
node.disk.bay.22,Bay number of disk with index 22
node.disk.bay.23,Bay number of disk with index 23
node.disk.bay.24,Bay number of disk with index 24
node.disk.bay.25,Bay number of disk with index 25
node.disk.bay.26,Bay number of disk with index 26
node.disk.bay.27,Bay number of disk with index 27
node.disk.bay.28,Bay number of disk with index 28
node.disk.bay.29,Bay number of disk with index 29
node.disk.bay.30,Bay number of disk with index 30
node.disk.bay.31,Bay number of disk with index 31
node.disk.bay.32,Bay number of disk with index 32
node.disk.bay.33,Bay number of disk with index 33
node.disk.bay.34,Bay number of disk with index 34
node.disk.bay.35,Bay number of disk with index 35
node.disk.bay.36,Bay number of disk with index 36
node.disk.bay.37,Bay number of disk with index 37
node.disk.bay.38,Bay number of disk with index 38
node.disk.bay.39,Bay number of disk with index 39
node.disk.bay.40,Bay number of disk with index 40
node.disk.bay.41,Bay number of disk with index 41
node.disk.bay.42,Bay number of disk with index 42
node.disk.bay.43,Bay number of disk with index 43
node.disk.bay.44,Bay number of disk with index 44
node.disk.bay.45,Bay number of disk with index 45
node.disk.bay.46,Bay number of disk with index 46
node.disk.bay.47,Bay number of disk with index 47
node.disk.bay.48,Bay number of disk with index 48
node.disk.bay.49,Bay number of disk with index 49
node.disk.bay.50,Bay number of disk with index 50
node.disk.bay.51,Bay number of disk with index 51
node.disk.bay.52,Bay number of disk with index 52
node.disk.bay.53,Bay number of disk with index 53
node.disk.bay.54,Bay number of disk with index 54
node.disk.bay.55,Bay number of disk with index 55
node.disk.bay.56,Bay number of disk with index 56
node.disk.bay.57,Bay number of disk with index 57
node.disk.bay.58,Bay number of disk with index 58
node.disk.bay.59,Bay number of disk with index 59
node.disk.health.0,Health of disk with index 0
node.disk.health.1,Health of disk with index 1
node.disk.health.2,Health of disk with index 2
node.disk.health.3,Health of disk with index 3
node.disk.health.4,Health of disk with index 4
node.disk.health.5,Health of disk with index 5
node.disk.health.6,Health of disk with index 6
node.disk.health.7,Health of disk with index 7
node.disk.health.8,Health of disk with index 8
node.disk.health.9,Health of disk with index 9
node.disk.health.10,Health of disk with index 10
node.disk.health.11,Health of disk with index 11
node.disk.health.12,Health of disk with index 12
node.disk.health.13,Health of disk with index 13
node.disk.health.14,Health of disk with index 14
node.disk.health.15,Health of disk with index 15
node.disk.health.16,Health of disk with index 16
node.disk.health.17,Health of disk with index 17
node.disk.health.18,Health of disk with index 18
node.disk.health.19,Health of disk with index 19
node.disk.health.20,Health of disk with index 20
node.disk.health.21,Health of disk with index 21
node.disk.health.22,Health of disk with index 22
node.disk.health.23,Health of disk with index 23
node.disk.health.24,Health of disk with index 24
node.disk.health.25,Health of disk with index 25
node.disk.health.26,Health of disk with index 26
node.disk.health.27,Health of disk with index 27
node.disk.health.28,Health of disk with index 28
node.disk.health.29,Health of disk with index 29
node.disk.health.30,Health of disk with index 30
node.disk.health.31,Health of disk with index 31
node.disk.health.32,Health of disk with index 32
node.disk.health.33,Health of disk with index 33
node.disk.health.34,Health of disk with index 34
node.disk.health.35,Health of disk with index 35
node.disk.health.36,Health of disk with index 36
node.disk.health.37,Health of disk with index 37
node.disk.health.38,Health of disk with index 38
node.disk.health.39,Health of disk with index 39
node.disk.health.40,Health of disk with index 40
node.disk.health.41,Health of disk with index 41
node.disk.health.42,Health of disk with index 42
node.disk.health.43,Health of disk with index 43
node.disk.health.44,Health of disk with index 44
node.disk.health.45,Health of disk with index 45
node.disk.health.46,Health of disk with index 46
node.disk.health.47,Health of disk with index 47
node.disk.health.48,Health of disk with index 48
node.disk.health.49,Health of disk with index 49
node.disk.health.50,Health of disk with index 50
node.disk.health.51,Health of disk with index 51
node.disk.health.52,Health of disk with index 52
node.disk.health.53,Health of disk with index 53
node.disk.health.54,Health of disk with index 54
node.disk.health.55,Health of disk with index 55
node.disk.health.56,Health of disk with index 56
node.disk.health.57,Health of disk with index 57
node.disk.health.58,Health of disk with index 58
node.disk.health.59,Health of disk with index 59
node.disk.unhealthy.count,Count of disks/bays that are not OK
node.disk.ifs.bytes.free.0,Free bytes of /ifs on disk with index 0
node.disk.ifs.bytes.free.1,Free bytes of /ifs on disk with index 1
node.disk.ifs.bytes.free.2,Free bytes of /ifs on disk with index 2
node.disk.ifs.bytes.free.3,Free bytes of /ifs on disk with index 3
node.disk.ifs.bytes.free.4,Free bytes of /ifs on disk with index 4
node.disk.ifs.bytes.free.5,Free bytes of /ifs on disk with index 5
node.disk.ifs.bytes.free.6,Free bytes of /ifs on disk with index 6
node.disk.ifs.bytes.free.7,Free bytes of /ifs on disk with index 7
node.disk.ifs.bytes.free.8,Free bytes of /ifs on disk with index 8
node.disk.ifs.bytes.free.9,Free bytes of /ifs on disk with index 9
node.disk.ifs.bytes.free.10,Free bytes of /ifs on disk with index 10
node.disk.ifs.bytes.free.11,Free bytes of /ifs on disk with index 11
node.disk.ifs.bytes.free.12,Free bytes of /ifs on disk with index 12
node.disk.ifs.bytes.free.13,Free bytes of /ifs on disk with index 13
node.disk.ifs.bytes.free.14,Free bytes of /ifs on disk with index 14
node.disk.ifs.bytes.free.15,Free bytes of /ifs on disk with index 15
node.disk.ifs.bytes.free.16,Free bytes of /ifs on disk with index 16
node.disk.ifs.bytes.free.17,Free bytes of /ifs on disk with index 17
node.disk.ifs.bytes.free.18,Free bytes of /ifs on disk with index 18
node.disk.ifs.bytes.free.19,Free bytes of /ifs on disk with index 19
node.disk.ifs.bytes.free.20,Free bytes of /ifs on disk with index 20
node.disk.ifs.bytes.free.21,Free bytes of /ifs on disk with index 21
node.disk.ifs.bytes.free.22,Free bytes of /ifs on disk with index 22
node.disk.ifs.bytes.free.23,Free bytes of /ifs on disk with index 23
node.disk.ifs.bytes.free.24,Free bytes of /ifs on disk with index 24
